Symbol
ADANIENT.NS
APOLLOHOSP.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
BAJFINANCE.NS
BHARTIARTL.NS
BRITANNIA.NS
CIPLA.NS
COALINDIA.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
ICICIBANK.NS
INDUSINDBK.NS
ITC.NS
KOTAKBANK.NS
LT.NS
MARUTI.NS
NESTLEIND.NS
NTPC.NS
ONGC.NS
RELIANCE.NS
TATACONSUM.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TITAN.NS
ULTRACEMCO.NS
WIPRO.NS
MRF.NS
